No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"159","000999","China Resources Sanjiu Medical & Pharmaceutical Co., Ltd.","47.61B","28.61","0.11%","29.86B"
"160","000893","Asia-potash International Investment (Guangzhou)Co.,Ltd.","47.58B","52.09","-1.10%","4.93B"
"161","300748","JL Mag Rare-Earth Co., Ltd.","47.58B","37.81","3.00%","7.12B"
"162","000981","Sensteed Hi-Tech Group","47.12B","5.05","-0.98%","4.09B"
"163","000783","Changjiang Securities Company Limited","47.06B","8.51","-1.39%","10.43B"
"164","000987","Guangzhou Yuexiu Capital Holdings Group Co., Ltd.","46.99B","9.40","-3.39%","8.79B"
"165","000021","Shenzhen Kaifa Technology Co., Ltd.","46.82B","29.79","6.01%","15.25B"
"166","300628","Yealink Network Technology Co., Ltd.","46.78B","36.97","0.79%","5.81B"
"167","301358","Hunan Yuneng New Energy Battery Material Co.,Ltd.","46.75B","61.45","1.44%","29.95B"
"168","001872","China Merchants Port Group Co., Ltd.","46.68B","19.34","-0.10%","16.73B"
"169","201872","China Merchants Port Group Co., Ltd.","46.68B","15.41","0.85%","16.73B"
"170","002601","LB Group Co., Ltd.","46.44B","19.76","-0.40%","26.08B"
"171","002340","GEM Co., Ltd.","46.22B","9.08","1.57%","35.83B"
"172","002409","Jiangsu Yoke Technology Co., Ltd.","45.93B","96.51","4.13%","8.33B"
"173","300207","Sunwoda Electronic Co.,Ltd","45.89B","25.04","0.40%","61.28B"
"174","300832","Shenzhen New Industries Biomedical Engineering Co., Ltd.","45.65B","58.10","-0.12%","4.55B"
"175","300054","Hubei Dinglong CO.,Ltd.","45.61B","48.14","3.13%","3.61B"
"176","000878","Yunnan Copper Co.,Ltd","45.54B","22.73","-0.92%","186.70B"
"177","000039","China International Marine Containers (Group) Co., Ltd.","45.34B","9.66","0.31%","165.75B"
"178","000564","Ccoop Group Co., Ltd","45.33B","2.510","2.87%","1.20B"
"179","300122","Chongqing Zhifei Biological Products Co., Ltd.","45.29B","18.92","-2.58%","10.91B"
"180","300661","SG Micro Corp","45.22B","73.17","2.49%","3.70B"
"181","002850","Shenzhen Kedali Industry Co., Ltd.","45.12B","164.10","4.07%","14.04B"
"182","300456","Sai MicroElectronics Inc.","44.69B","61.03","-2.09%","1.06B"
"183","002444","Hangzhou Greatstar Industrial Co., Ltd","44.22B","37.02","-2.06%","14.87B"
"184","300896","Imeik Technology Development Co.,Ltd.","44.10B","146.31","-1.68%","2.52B"
"185","300339","Jiangsu Hoperun Software Co., Ltd.","43.58B","55.20","-4.48%","3.71B"
"186","300782","Maxscend Microelectronics Company Limited","43.15B","80.66","0.83%","3.89B"
"187","002261","Talkweb Information System Co.,Ltd.","43.10B","34.21","-3.12%","3.24B"
"188","000786","Beijing New Building Materials Public Limited Company","43.07B","25.30","-1.10%","25.36B"
"189","002078","Shandong Sunpaper Co., Ltd.","42.39B","15.17","-1.43%","38.69B"
"190","300346","Jiangsu Nata Opto-electronic Material Co., Ltd.","42.16B","61.00","-2.79%","2.47B"
"191","002153","Beijing Shiji Information Technology Co., Ltd.","42.11B","15.43","-4.40%","2.86B"
"192","300037","Shenzhen Capchem Technology Co., Ltd.","41.80B","55.67","0.58%","8.80B"
"193","300390","Canmax Technologies Co., Ltd.","41.75B","50.25","-5.90%","6.73B"
"194","002252","Shanghai RAAS Blood Products Co., Ltd.","41.61B","6.30","-1.41%","7.95B"
"195","002429","Shenzhen MTC Co., Ltd.","41.60B","9.19","5.63%","18.06B"
