No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"3789","5EJ","Ezaki Glico Co., Ltd.","1.83B","28.40","-2.07%","2.04B"
"3790","2G3","Exail Technologies","1.83B","106.40","-0.37%","453.29M"
"3791","1K3","Knowles Corporation","1.83B","19.20","1.59%","488.79M"
"3792","59V","Nagoya Railroad Co., Ltd.","1.83B","9.05","0.56%","3.98B"
"3793","3MG","SJM Holdings Limited","1.83B","0.250","1.63%","3.21B"
"3794","3MG1","SJM Holdings Limited","1.83B","0.955","-8.17%","3.21B"
"3795","1V1","V2X, Inc.","1.83B","56.50","-0.88%","3.78B"
"3796","5FO","MIRAIT ONE Corporation","1.82B","20.00","-0.52%","3.38B"
"3797","CTZ","Citizen Watch Co., Ltd.","1.82B","7.30","0.69%","1.84B"
"3798","KLU1","Kaiser Aluminum Corporation","1.81B","106.00","-3.64%","2.74B"
"3799","MNK","Minerals Technologies Inc.","1.81B","56.00","-0.88%","1.77B"
"3800","MYM","Mayr-Melnhof Karton AG","1.81B","91.90","-1.71%","3.99B"
"3801","SJL","SM Energy Company","1.81B","15.30","-1.92%","2.70B"
"3802","JSY","JustSystems Corporation","1.80B","27.20","-0.73%","278.79M"
"3803","HTR","Huntsman Corporation","1.80B","9.80","-1.51%","4.93B"
"3804","DYT1","Dynex Capital, Inc.","1.80B","12.16","1.25%","196.41M"
"3805","1ZL","Zai Lab Limited","1.80B","15.90","-6.47%","376.40M"
"3806","PIG","Perrigo Company plc","1.80B","12.94","2.62%","3.66B"
"3807","6QS","Colt CZ Group SE","1.80B","32.35","-0.31%","985.00M"
"3808","SH7","Helios Technologies, Inc.","1.80B","50.00","3.31%","690.75M"
"3809","0LZ","Yellow Cake plc","1.79B","7.18","3.76%","4.62M"
"3810","PSRA","CoreCivic, Inc.","1.79B","17.01","-0.79%","1.78B"
"3811","GV9","Enterprise Financial Services Corp","1.79B","47.60","2.59%","551.18M"
"3812","W2L","United Parks & Resorts Inc.","1.79B","31.60","1.94%","1.43B"
"3813","0EU","Reliance Worldwide Corporation Limited","1.79B","2.200","-0.90%","1.12B"
"3814","J4F","Jungfraubahn Holding AG","1.78B","312.50","4.52%","324.13M"
"3815","KSB","KSB SE & Co. KGaA","1.78B","995.00","1.53%","2.99B"
"3816","KSB3","KSB SE & Co. KGaA","1.78B","1,005.00","-0.99%","2.99B"
"3817","8AF","Namura Shipbuilding Co., Ltd.","1.78B","20.20","5.21%","884.36M"
"3818","S52","Teekay Tankers Ltd.","1.78B","50.00","-","811.29M"
"3819","88L","Sylvamo Corporation","1.78B","40.66","1.91%","2.92B"
"3820","AQY","ArcBest Corporation","1.77B","76.50","-0.65%","3.44B"
"3821","IPT","International Petroleum Corporation","1.77B","14.46","-3.98%","600.52M"
"3822","2EN","Entra ASA","1.77B","9.21","-1.07%","260.43M"
"3823","NG2","Neogen Corporation","1.77B","7.80","-1.89%","759.19M"
"3824","ORW","OneSpaWorld Holdings Limited","1.77B","17.80","1.71%","797.82M"
"3825","8K0","Weihai Bank Co., Ltd.","1.77B","0.258","-22.29%","581.16M"
"3826","1SP","Surgery Partners, Inc.","1.77B","13.30","0.76%","2.80B"
"3827","7C4","CES Energy Solutions Corp.","1.77B","8.30","-1.19%","1.49B"
"3828","VEO","Veeco Instruments Inc.","1.77B","29.20","-","580.76M"
"3829","CYL","Artivion, Inc.","1.77B","36.50","-2.41%","360.22M"
"3830","7GA","Gestamp Automoción, S.A.","1.77B","3.040","-1.36%","11.67B"
"3831","EYI","Sirius Real Estate Limited","1.76B","1.140","-0.87%","326.90M"
"3832","CE1","Perdoceo Education Corporation","1.76B","26.60","-1.48%","691.12M"
"3833","SQQ1","Semapa - Sociedade de Investimento e Gestão, SGPS, S.A.","1.76B","21.00","-1.18%","2.88B"
"3834","SGI","Shanghai Industrial Holdings Limited","1.76B","1.570","-4.27%","3.04B"
"3835","83S2","SSP Group plc","1.76B","2.140","-1.83%","4.17B"
"3836","NG0","Nippon Gas Co., Ltd.","1.76B","16.00","2.56%","1.16B"
"3837","4IK","The Bank of N.T. Butterfield & Son Limited","1.76B","42.20","-0.47%","510.91M"
"3838","VTCB","Vtech Holdings Limited","1.76B","6.55","0.77%","1.77B"
"3839","EU4","PSG Financial Services Limited","1.75B","1.360","-1.45%","453.01M"
"3840","0R7","Robertet SA","1.75B","873.00","1.63%","839.39M"
"3841","1YZ","Savills plc","1.75B","11.20","-2.61%","2.88B"
"3842","CCT","Century Communities, Inc.","1.75B","57.00","-0.87%","3.54B"
"3843","URU","Suruga Bank Ltd.","1.75B","9.95","3.11%","492.03M"
"3844","GYC","Grand City Properties S.A.","1.75B","9.93","1.74%","601.54M"
"3845","GYC1","Grand City Properties S.A.","1.75B","9.60","-1.03%","601.54M"
