No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"210","0UKH","Bank of Montreal","71.78B","182.85","-","17.74B"
"211","0QZ6","NIKE, Inc.","71.41B","64.16","-0.69%","35.14B"
"212","0XXT","Atlas Copco AB (publ)","71.08B","185.40","3.04%","13.54B"
"213","0Q0J","Mitsubishi Corporation","70.82B","22.33","-1.89%","89.99B"
"214","0K92","Northrop Grumman Corporation","69.77B","660.87","0.84%","30.45B"
"215","CYPC","China Yangtze Power Co., Ltd.","69.57B","37.80","-","9.12B"
"216","0ID1","Duke Energy Corporation","69.05B","119.14","-0.02%","23.24B"
"217","0R08","United Parcel Service, Inc.","68.82B","107.48","-1.07%","66.57B"
"218","0HAR","AXA SA","68.39B","39.27","-0.32%","79.90B"
"219","0UKI","The Bank of Nova Scotia","67.89B","101.11","-","17.19B"
"220","0QNY","3M Company","67.88B","142.00","1.37%","18.47B"
"221","0HKP","BP p.l.c.","67.51B","35.29","0.40%","138.32B"
"222","BP","BP p.l.c.","67.51B","440.25","0.54%","138.32B"
"223","0TCU","Howmet Aerospace Inc.","67.34B","220.42","0.87%","5.93B"
"224","BARC","Barclays PLC","66.55B","488.95","0.96%","26.02B"
"225","0LTG","Waste Management, Inc.","66.15B","220.46","0.53%","18.44B"
"226","0L5V","The Sherwin-Williams Company","65.55B","355.86","0.05%","17.32B"
"227","0K6G","NetEase, Inc.","65.43B","137.11","0.26%","11.69B"
"228","0JYW","Marriott International, Inc.","65.29B","324.84","0.27%","5.11B"
"229","0HS2","Cadence Design Systems, Inc.","65.17B","316.12","-1.58%","3.88B"
"230","0ILK","CaixaBank, S.A.","64.62B","10.62","-1.55%","13.14B"
"231","0R2O","Freeport-McMoRan Inc.","64.30B","58.70","-2.85%","19.34B"
"232","0Y2S","Trane Technologies plc","64.13B","88.17","-77.37%","15.66B"
"233","0HLQ","The Bank of New York Mellon Corporation","63.72B","121.56","-2.54%","14.94B"
"234","0UNI","Canadian Imperial Bank of Commerce","63.67B","127.83","0.69%","14.56B"
"235","0HEU","American Tower Corporation","63.47B","182.59","1.03%","7.78B"
"236","0HG8","Elevance Health, Inc.","63.39B","376.87","-1.11%","144.93B"
"237","0KEF","The PNC Financial Services Group, Inc.","62.98B","222.86","3.44%","16.22B"
"238","0A2K","ING Groep N.V.","62.93B","17.66","5.48%","17.49B"
"239","0RIC","ING Groep N.V.","62.83B","24.99","-0.35%","17.49B"
"240","0LHY","U.S. Bancorp","62.63B","54.49","0.63%","19.35B"
"241","0R22","Barrick Mining Corporation","62.58B","3,242.34","2.54%","10.86B"
"242","0R33","Emerson Electric Co.","62.16B","149.85","0.68%","13.40B"
"243","CRH","CRH plc","61.35B","9,140.00","-0.83%","27.45B"
"244","BA","BAE Systems plc","60.76B","2,088.00","2.30%","27.41B"
"245","0REK","TransDigm Group Incorporated","60.29B","1,455.14","1.85%","6.57B"
"246","LLOY","Lloyds Banking Group plc","60.07B","102.10","-0.10%","17.93B"
"247","0A8C","Airbnb, Inc.","60.05B","130.96","-1.07%","8.88B"
"248","0R2X","Corning Incorporated","59.86B","93.91","-0.23%","11.10B"
"249","0I58","Cummins Inc.","59.26B","580.09","0.32%","24.98B"
"250","0A7D","Dell Technologies Inc.","59.22B","122.74","1.56%","79.25B"
"251","0KHP","Petróleo Brasileiro S.A. - Petrobras","59.17B","12.68","0.17%","68.60B"
"252","0KAB","O'Reilly Automotive, Inc.","59.03B","93.79","-1.22%","12.99B"
"253","0II4","Equinix, Inc.","58.80B","804.23","0.06%","6.75B"
"254","0IFA","Ecolab Inc.","58.75B","276.02","-0.60%","11.82B"
"255","NG","National Grid plc","58.68B","1,201.50","1.74%","17.48B"
"256","0HYJ","Cintas Corporation","58.41B","194.65","-0.20%","8.15B"
